family,cluster_config,load,policy,n_runs,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
tiny_large,homog,high,spread,10,27.340000000,0.505964426,26.978054880,27.701945120,14.006803381,2.609696371,12.139939194,15.873667568,3.988068394,0.876068138,3.361367047,4.614769742,259.600000000,47.051272270,225.941549869,293.258450131,0.692776525,0.018366186,0.679638149,0.705914902,0.914923665,0.009973578,0.907788998,0.922058332,0.597218604,0.012291072,0.588426102,0.606011107,127.887438666,31.457545941,105.384067552,150.390809780,29.772823365,0.038917892,29.744983184,29.800663546,25.597433136,0.325973773,25.364245564,25.830620709
tiny_large,homog,high,tetris,10,27.630000000,0.570555285,27.221849366,28.038150634,14.674563069,2.327013911,13.009917717,16.339208421,3.708979030,0.943241137,3.034225018,4.383733043,243.200000000,59.381628285,200.720945176,285.679054824,0.700170745,0.021349643,0.684898132,0.715443359,0.914445073,0.011211208,0.906425059,0.922465088,0.601600897,0.015482788,0.590525178,0.612676616,117.630508733,33.080452967,93.966179954,141.294837513,29.656903209,0.079776412,29.599834606,29.713971812,25.510855333,0.344420029,25.264472104,25.757238561
tiny_large,homog,low,binpack,10,17.050000000,0.552509427,16.654758594,17.445241406,0.000000000,0.000000000,0.000000000,0.000000000,0.000023426,0.000074080,-0.000029567,0.000076420,0.000000000,0.000000000,0.000000000,0.000000000,0.798360906,0.015276413,0.787432819,0.809288992,0.634966474,0.021061549,0.619899951,0.650032997,0.379740557,0.012957744,0.370471146,0.389009967,0.000522403,0.001651985,-0.000659355,0.001704162,21.242038516,0.636510164,20.786706607,21.697370424,17.387322157,0.601269392,16.957199976,17.817444338
tiny_large,homog,low,hybrid,10,17.050000000,0.552509427,16.654758594,17.445241406,0.000000000,0.000000000,0.000000000,0.000000000,0.000411474,0.001301195,-0.000519345,0.001342293,0.000000000,0.000000000,0.000000000,0.000000000,0.798360906,0.015276413,0.787432819,0.809288992,0.634966474,0.021061549,0.619899951,0.650032997,0.379740557,0.012957744,0.370471146,0.389009967,0.009175873,0.029016657,-0.011581392,0.029933137,28.326455207,0.287990882,28.120438956,28.532471459,17.387322157,0.601269392,16.957199976,17.817444338
tiny_large,homog,low,spread,10,17.050000000,0.552509427,16.654758594,17.445241406,0.000000000,0.000000000,0.000000000,0.000000000,0.000331690,0.001048897,-0.000418645,0.001082026,0.000000000,0.000000000,0.000000000,0.000000000,0.798360906,0.015276413,0.787432819,0.809288992,0.634966474,0.021061549,0.619899951,0.650032997,0.379740557,0.012957744,0.370471146,0.389009967,0.007396693,0.023390396,-0.009335787,0.024129172,29.578100534,0.072276086,29.526397341,29.629803727,17.387322157,0.601269392,16.957199976,17.817444338
tiny_large,homog,low,tetris,10,17.050000000,0.552509427,16.654758594,17.445241406,0.000000000,0.000000000,0.000000000,0.000000000,0.000552873,0.001748339,-0.000697813,0.001803560,0.000000000,0.000000000,0.000000000,0.000000000,0.798360906,0.015276413,0.787432819,0.809288992,0.634966474,0.021061549,0.619899951,0.650032997,0.379740557,0.012957744,0.370471146,0.389009967,0.012329075,0.038987960,-0.015561229,0.040219380,29.431577112,0.107943885,29.354358714,29.508795510,17.387322157,0.601269392,16.957199976,17.817444338
tiny_large,homog,med,binpack,10,23.878000000,0.583129488,23.460854324,24.295145676,2.092881775,1.322686243,1.146689104,3.039074445,0.372731308,0.269247254,0.180123439,0.565339176,17.800000000,14.428367121,7.478568681,28.121431319,0.787857290,0.012371931,0.779006945,0.796707635,0.874218066,0.016528406,0.862394357,0.886041774,0.530403549,0.009519224,0.523593907,0.537213191,11.042267987,8.248550444,5.141610888,16.942925086,27.070137556,0.380900879,26.797657502,27.342617610,23.868783538,0.529926643,23.489696882,24.247870195
tiny_large,homog,med,hybrid,10,23.842000000,0.585942735,23.422841848,24.261158152,2.567695487,1.197079381,1.711356547,3.424034427,0.441161151,0.240126688,0.269384879,0.612937423,20.300000000,11.304374768,12.213338024,28.386661976,0.786648515,0.010944445,0.778819331,0.794477698,0.866086128,0.016523495,0.854265933,0.877906324,0.528932252,0.010259862,0.521592789,0.536271714,12.903084160,7.368183946,7.632203269,18.173965050,28.965533196,0.248072588,28.788072770,29.142993623,23.671146195,0.557734257,23.272167171,24.070125219
tiny_large,homog,med,spread,10,23.844000000,0.573162765,23.433984087,24.254015913,2.235675803,1.206480435,1.372611754,3.098739853,0.401662842,0.258757147,0.216559143,0.586766541,19.000000000,12.901334987,9.770941585,28.229058415,0.786746804,0.012607966,0.777727609,0.795765999,0.871047456,0.016455942,0.859275585,0.882819327,0.530384672,0.009558031,0.523547269,0.537222075,11.844194461,7.984247710,6.132608134,17.555780789,29.704670374,0.050593260,29.668478139,29.740862609,23.767020894,0.597588873,23.339531598,24.194510191
tiny_large,homog,med,tetris,10,23.810000000,0.580440446,23.394777948,24.225222052,2.823141674,1.231462410,1.942206597,3.704076750,0.476047797,0.253061419,0.295018576,0.657077018,22.800000000,13.822686666,12.911846346,32.688153654,0.785607730,0.011771557,0.777186866,0.794028594,0.862865162,0.015288382,0.851928513,0.873801811,0.528064609,0.009852929,0.521016249,0.535112969,13.821943501,7.720014519,8.299378198,19.344508804,29.551195230,0.160829363,29.436144843,29.666245617,23.526581519,0.581435294,23.110647795,23.942515242
