family,load,policy,n_runs,n_seed_blocks,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
cpu_heavy,high,hybrid,20,10,13.145000000,0.343584051,12.899214776,13.390785224,18.800763925,2.755749610,16.829419411,20.772108440,5.830171135,0.996400576,5.117389102,6.542953169,192.100000000,29.023745068,171.337663529,212.862336471,0.649141963,0.018496462,0.635910392,0.662373535,0.893392584,0.007261470,0.888198041,0.898587127,0.192661806,0.008304811,0.186720903,0.198602710,87.777761211,14.647182166,77.299798295,98.255724126,29.231963919,0.101568460,29.159306220,29.304621619,12.916112377,0.330102234,12.679971464,13.152253289
cpu_heavy,high,spread,20,10,13.181000000,0.319911446,12.952149138,13.409850862,18.867539817,2.604397213,17.004466285,20.730613350,5.770995063,0.979538932,5.070275123,6.471715003,190.200000000,30.622431865,168.294031888,212.105968112,0.651003032,0.019709498,0.636903707,0.665102358,0.895590409,0.006548355,0.890905997,0.900274820,0.192881698,0.008464601,0.186826487,0.198936909,87.162316455,14.714520689,76.636182462,97.688450448,29.536941954,0.077167566,29.481739603,29.592144306,12.908163821,0.291529423,12.699616235,13.116711406
cpu_heavy,high,tetris,20,10,13.163000000,0.336783808,12.922079377,13.403920623,19.185465475,2.637948196,17.298391015,21.072539935,5.816054713,0.981832749,5.113693876,6.518415551,191.400000000,28.797955174,170.799183889,212.000816111,0.650042370,0.018147733,0.637060264,0.663024476,0.892924179,0.006838398,0.888032283,0.897816074,0.192823891,0.008580662,0.186685655,0.198962126,87.629145958,14.362940500,77.354517282,97.903774635,29.357459280,0.100954849,29.285240531,29.429678028,12.892896241,0.298183865,12.679588354,13.106204129
cpu_heavy,low,binpack,20,10,8.571000000,0.406952086,8.279884015,8.862115985,0.000000000,0.000000000,0.000000000,0.000000000,0.000014176,0.000044829,-0.000017893,0.000046245,0.000000000,0.000000000,0.000000000,0.000000000,0.792995537,0.015575237,0.781853683,0.804137391,0.627472255,0.026811537,0.608292437,0.646652072,0.129876665,0.006519442,0.125212937,0.134540393,0.000158775,0.000502089,-0.000200398,0.000517947,22.036355871,0.803236063,21.461755407,22.610956336,8.844065607,0.399825659,8.558047561,9.130083653
cpu_heavy,low,hybrid,20,10,8.571000000,0.406952086,8.279884015,8.862115985,0.000000000,0.000000000,0.000000000,0.000000000,0.001350570,0.002480886,-0.000424149,0.003125289,0.000000000,0.000000000,0.000000000,0.000000000,0.792995537,0.015575237,0.781853683,0.804137391,0.627444142,0.026806363,0.608268026,0.646620259,0.129872452,0.006517786,0.125209909,0.134534996,0.014901767,0.027655299,-0.004881642,0.034685177,28.550321891,0.192247621,28.412796228,28.687847554,8.844065607,0.399825659,8.558047561,9.130083653
cpu_heavy,low,spread,20,10,8.571000000,0.406952086,8.279884015,8.862115985,0.000000000,0.000000000,0.000000000,0.000000000,0.000857587,0.002276719,-0.000771080,0.002486253,0.000000000,0.000000000,0.000000000,0.000000000,0.792995537,0.015575237,0.781853683,0.804137391,0.627472255,0.026811537,0.608292437,0.646652072,0.129876665,0.006519442,0.125212937,0.134540393,0.009529391,0.025408857,-0.008647010,0.027705793,29.143764734,0.140433682,29.043304530,29.244224938,8.844065607,0.399825659,8.558047561,9.130083653
cpu_heavy,low,tetris,20,10,8.571000000,0.406952086,8.279884015,8.862115985,0.000000000,0.000000000,0.000000000,0.000000000,0.001438052,0.002612429,-0.000430767,0.003306871,0.000000000,0.000000000,0.000000000,0.000000000,0.792995537,0.015575237,0.781853683,0.804137391,0.627444349,0.026808943,0.608266387,0.646622312,0.129872534,0.006517751,0.125210016,0.134535052,0.015886571,0.029204458,-0.005005040,0.036778181,28.782668370,0.159391615,28.668646478,28.896690262,8.844065607,0.399825659,8.558047561,9.130083653
cpu_heavy,med,binpack,20,10,11.999000000,0.360075609,11.741417426,12.256582574,3.896840506,1.979220282,2.480991609,5.312689404,0.891070667,0.501546051,0.532286236,1.249855099,29.300000000,23.927204415,12.183509082,46.416490918,0.768785616,0.025821732,0.750313861,0.787257370,0.857354872,0.017808544,0.844615408,0.870094337,0.178961593,0.009124287,0.172434471,0.185488714,12.876898731,6.801493985,8.011403038,17.742394423,27.197128389,0.267102618,27.006054686,27.388202092,12.112450801,0.317019687,11.885668579,12.339233024
cpu_heavy,med,hybrid,20,10,11.924000000,0.338926410,11.681546652,12.166453348,4.898665781,2.339671315,3.224965749,6.572365814,1.081658932,0.529658971,0.702763729,1.460554135,33.250000000,22.103607046,17.438032053,49.061967947,0.763954682,0.024016165,0.746774553,0.781134812,0.849965551,0.015585698,0.838816214,0.861114888,0.177854168,0.008787693,0.171567831,0.184140505,15.615492687,7.346545298,10.360090773,20.870894601,28.990427145,0.122226126,28.902991842,29.077862449,12.009153317,0.322122338,11.778720878,12.239585756
cpu_heavy,med,spread,20,10,11.968000000,0.349660152,11.717868195,12.218131805,4.478811555,2.115831760,2.965236694,5.992386417,0.971599816,0.500262558,0.613733541,1.329466091,30.550000000,23.750380114,13.560001567,47.539998433,0.766799944,0.025753946,0.748376681,0.785223207,0.853841267,0.018121555,0.840877887,0.866804647,0.178581519,0.009068037,0.172094636,0.185068402,14.017900367,6.834750181,9.128614625,18.907186110,29.403507959,0.101583991,29.330839149,29.476176768,12.020269306,0.324274679,11.788297175,12.252241437
