family,load,policy,baseline,n_pairs,mean_delta_throughput_horizon,sd_delta_throughput_horizon,ci95_low_delta_throughput_horizon,ci95_high_delta_throughput_horizon,wins_throughput_horizon,losses_throughput_horizon,ties_throughput_horizon,mean_delta_p95_wait_time,sd_delta_p95_wait_time,ci95_low_delta_p95_wait_time,ci95_high_delta_p95_wait_time,wins_p95_wait_time,losses_p95_wait_time,ties_p95_wait_time,mean_delta_mean_wait_time,sd_delta_mean_wait_time,ci95_low_delta_mean_wait_time,ci95_high_delta_mean_wait_time,wins_mean_wait_time,losses_mean_wait_time,ties_mean_wait_time,mean_delta_queued_at_horizon,sd_delta_queued_at_horizon,ci95_low_delta_queued_at_horizon,ci95_high_delta_queued_at_horizon,wins_queued_at_horizon,losses_queued_at_horizon,ties_queued_at_horizon,mean_delta_completion_ratio_horizon,sd_delta_completion_ratio_horizon,ci95_low_delta_completion_ratio_horizon,ci95_high_delta_completion_ratio_horizon,wins_completion_ratio_horizon,losses_completion_ratio_horizon,ties_completion_ratio_horizon,mean_delta_time_weighted_cpu_utilization,sd_delta_time_weighted_cpu_utilization,ci95_low_delta_time_weighted_cpu_utilization,ci95_high_delta_time_weighted_cpu_utilization,wins_time_weighted_cpu_utilization,losses_time_weighted_cpu_utilization,ties_time_weighted_cpu_utilization,mean_delta_time_weighted_ram_utilization,sd_delta_time_weighted_ram_utilization,ci95_low_delta_time_weighted_ram_utilization,ci95_high_delta_time_weighted_ram_utilization,wins_time_weighted_ram_utilization,losses_time_weighted_ram_utilization,ties_time_weighted_ram_utilization,mean_delta_time_weighted_queue_length,sd_delta_time_weighted_queue_length,ci95_low_delta_time_weighted_queue_length,ci95_high_delta_time_weighted_queue_length,wins_time_weighted_queue_length,losses_time_weighted_queue_length,ties_time_weighted_queue_length,mean_delta_time_weighted_active_nodes,sd_delta_time_weighted_active_nodes,ci95_low_delta_time_weighted_active_nodes,ci95_high_delta_time_weighted_active_nodes,wins_time_weighted_active_nodes,losses_time_weighted_active_nodes,ties_time_weighted_active_nodes,mean_delta_drained_throughput,sd_delta_drained_throughput,ci95_low_delta_drained_throughput,ci95_high_delta_drained_throughput,wins_drained_throughput,losses_drained_throughput,ties_drained_throughput
pred_error,med,hybrid,binpack,20,-0.064000000,0.089348519,-0.105816393,-0.022183607,3,15,2,0.874792239,0.975683544,0.418158297,1.331426182,17,3,0,0.152788807,0.083008511,0.113939629,0.191637985,20,0,0,2.700000000,4.758372123,0.473013353,4.926986647,15,4,1,-0.003952962,0.005319041,-0.006442350,-0.001463574,3,15,2,-0.006857851,0.004456882,-0.008943736,-0.004771966,0,20,0,-0.000968313,0.000779798,-0.001333270,-0.000603357,1,19,0,2.204204900,1.203790914,1.640813424,2.767596375,20,0,0,1.730269553,0.604561686,1.447325981,2.013213124,20,0,0,-0.112171563,0.111324804,-0.164273174,-0.060069952,2,18,0
pred_error,med,spread,binpack,20,-0.038000000,0.066459327,-0.069103922,-0.006896078,4,13,3,0.492245155,0.635859682,0.194653672,0.789836639,16,4,0,0.077292905,0.048013246,0.054822015,0.099763795,19,1,0,2.100000000,2.863564213,0.759810730,3.440189270,14,1,5,-0.002363785,0.004049039,-0.004258793,-0.000468776,4,13,3,-0.003373413,0.002751763,-0.004661278,-0.002085549,2,18,0,-0.000528339,0.000517997,-0.000770769,-0.000285909,5,15,0,1.080627702,0.738444394,0.735025096,1.426230308,19,1,0,2.242452458,0.374040927,2.067395920,2.417508996,20,0,0,-0.080514548,0.093811702,-0.124419774,-0.036609321,3,17,0
pred_error,med,tetris,binpack,20,-0.071000000,0.084224012,-0.110418050,-0.031581950,3,15,2,1.161916251,0.950378968,0.717125214,1.606707288,19,1,0,0.171993260,0.085138074,0.132147416,0.211839103,20,0,0,3.750000000,4.586880605,1.603273852,5.896726148,17,2,1,-0.004365172,0.005115595,-0.006759344,-0.001971000,3,15,2,-0.008269757,0.004087261,-0.010182654,-0.006356859,1,19,0,-0.001123912,0.000728872,-0.001465034,-0.000782789,2,18,0,2.457884001,1.247427242,1.874070096,3.041697906,20,0,0,1.943932454,0.610273305,1.658315763,2.229549145,20,0,0,-0.130417527,0.115128841,-0.184299481,-0.076535572,1,19,0
ram_heavy,high,hybrid,binpack,20,0.106000000,0.128325245,0.045941938,0.166058062,17,2,1,0.392912308,0.646689048,0.090252525,0.695572091,15,5,0,-0.125861990,0.114221195,-0.179319153,-0.072404826,1,19,0,-4.300000000,7.138479862,-7.640911328,-0.959088672,5,14,1,0.003000516,0.003606974,0.001312400,0.004688631,17,2,1,0.000509876,0.003163943,-0.000970895,0.001990647,13,7,0,0.001067798,0.002657447,-0.000175926,0.002311521,11,9,0,-3.506344036,3.320579054,-5.060422830,-1.952265241,1,19,0,0.635143639,0.847396191,0.238550024,1.031737254,10,10,0,0.012658230,0.083450647,-0.026397874,0.051714334,11,9,0
ram_heavy,high,spread,binpack,20,0.058000000,0.113490088,0.004885005,0.111114995,13,4,3,0.267987365,0.758444281,-0.086975476,0.622950206,14,6,0,-0.087876112,0.107715462,-0.138288498,-0.037463725,5,15,0,-3.400000000,6.235720530,-6.318406967,-0.481593033,5,14,1,0.001632237,0.003178077,0.000144852,0.003119623,13,4,3,0.001214293,0.002357609,0.000110898,0.002317688,14,6,0,0.000565870,0.002579767,-0.000641498,0.001773238,9,11,0,-2.413181744,2.886219696,-3.763974106,-1.062389381,4,16,0,1.736761988,0.243894119,1.622616030,1.850907946,20,0,0,0.000064055,0.073659733,-0.034409760,0.034537870,11,9,0
ram_heavy,high,tetris,binpack,20,0.114000000,0.154115473,0.041871740,0.186128260,13,6,1,0.361627635,0.815927703,-0.020238274,0.743493545,12,8,0,-0.142447632,0.137924886,-0.206998464,-0.077896800,4,16,0,-4.400000000,9.489051863,-8.841012860,0.041012860,8,12,0,0.003204588,0.004288486,0.001197515,0.005211661,13,6,1,0.001291748,0.003022220,-0.000122694,0.002706191,14,6,0,0.001005962,0.002633310,-0.000226464,0.002238389,14,6,0,-4.204609971,4.277789949,-6.206677243,-2.202542699,4,16,0,1.183248664,0.679035210,0.865450412,1.501046916,20,0,0,-0.004467562,0.106730485,-0.054418965,0.045483842,12,8,0
ram_heavy,low,hybrid,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000229913,0.000990214,-0.000233522,0.000693348,2,0,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000000440,0.000001969,-0.000001362,0.000000481,0,1,19,-0.000001057,0.000004726,-0.000003269,0.000001155,0,1,19,0.005049209,0.021845947,-0.005175008,0.015273427,2,0,18,4.247337342,3.399486700,2.656328633,5.838346050,19,1,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
ram_heavy,low,spread,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000067786,0.000259566,-0.000053694,0.000189267,2,0,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000000541,0.000002421,-0.000001674,0.000000592,0,1,19,-0.000001299,0.000005810,-0.000004018,0.000001420,0,1,19,0.001467498,0.005712195,-0.001205891,0.004140888,2,0,18,7.485314928,1.150808573,6.946719950,8.023909905,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
ram_heavy,low,tetris,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000111801,0.000376225,-0.000064278,0.000287880,2,0,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000001740,0.000007783,-0.000005383,0.000001902,0,1,19,-0.000004177,0.000018680,-0.000012919,0.000004565,0,1,19,0.002376731,0.008173510,-0.001448589,0.006202052,2,0,18,5.985860240,2.431295461,4.847978967,7.123741512,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
ram_heavy,med,hybrid,binpack,20,-0.021000000,0.066324561,-0.052040849,0.010040849,7,12,1,0.137538915,0.256925284,0.017294184,0.257783647,16,4,0,0.024667156,0.063175902,-0.004900076,0.054234388,15,5,0,1.550000000,3.531437757,-0.102763703,3.202763703,14,5,1,-0.000834581,0.002528057,-0.002017748,0.000348586,7,12,1,-0.000803171,0.001036430,-0.001288235,-0.000318107,4,16,0,-0.001654844,0.002174835,-0.002672698,-0.000636989,3,17,0,0.549428587,1.661481481,-0.228168662,1.327025836,15,5,0,0.908270714,1.156070152,0.367213242,1.449328186,11,9,0,-0.024382656,0.102286456,-0.072254190,0.023488878,5,15,0
