family,cluster,load,policy,n,mean_delta,ci95_low,ci95_high,wins,losses
balanced,homog,high,spread,10,-0.00158,-0.01074,0.00758,3,5
balanced,homog,high,tetris,10,-0.00158,-0.01074,0.00758,3,5
balanced,homog,high,wmatch,10,-0.00040,-0.00129,0.00050,0,1
balanced,homog,low,balance,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,hybrid,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,spread,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,tetris,10,0.00000,0.00000,0.00000,0,0
balanced,homog,low,wmatch,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,balance,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,hybrid,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,spread,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,tetris,10,0.00000,0.00000,0.00000,0,0
balanced,homog,med,wmatch,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,high,balance,10,0.03927,0.01950,0.05904,9,0
bimodal,hetero,high,d1_cheap,10,0.05819,0.04072,0.07566,10,0
bimodal,hetero,high,d1_cheap_nomad_ff,10,0.00124,-0.00191,0.00439,2,1
bimodal,hetero,high,d2_capacity,10,0.05857,0.04549,0.07165,10,0
bimodal,hetero,high,d2_capacity_nomad_ff,10,0.00545,-0.00574,0.01664,6,3
bimodal,hetero,high,ff_only_cheap,10,0.00124,-0.00191,0.00439,2,1
bimodal,hetero,high,hybrid,10,0.06047,0.04480,0.07613,10,0
bimodal,hetero,high,spread,10,0.05202,0.03423,0.06981,10,0
bimodal,hetero,high,tetris,10,0.07031,0.05557,0.08506,10,0
bimodal,hetero,high,wmatch,10,-0.00024,-0.00795,0.00748,2,3
bimodal,hetero,low,balance,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,hybrid,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,spread,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,tetris,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,low,wmatch,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,balance,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,hybrid,10,0.00000,0.00000,0.00000,0,0
